sample_id,source_url,local_cache_path,download_status,file_size,file_type,width,height,sha256,downloaded_at,duplicate,duplicate_of,download_error
PW-001,https://science.sysu.edu.cn/article/938,evaluation/real_data/public_web/.local_cache/PW-001.jpg,VALID,254584,JPEG,1080,1800,d66159e035dd91922ee67cebafc261e91b3168afcfd21837d0cac99c525f8945,2026-08-03T09:59:30.828089+00:00,false,,
PW-002,https://life.scnu.edu.cn/a/20250410/6465.html,evaluation/real_data/public_web/.local_cache/PW-002.jpg,VALID,465493,JPEG,1587,2116,2e303aa2bac4d429db06c5a188d38972583fa503ec0689c4a5688b8e090426ed,2026-08-03T09:59:31.157275+00:00,false,,
PW-003,https://comm.ecnu.edu.cn/46/a2/c41514a673442/page.htm,evaluation/real_data/public_web/.local_cache/PW-003.jpg,VALID,2571119,JPEG,3450,4950,82957e7ed022ad00767820f9aa4272e3ed90ae77200f0289e651a746ea293167,2026-08-03T09:59:32.283383+00:00,false,,
PW-004,https://comm.ecnu.edu.cn/fb/7e/c41514a719742/page.htm,evaluation/real_data/public_web/.local_cache/PW-004.jpg,VALID,2753003,JPEG,3839,5610,60948f6516324b011b2162d1a6c9f391d511bdac2cfa97a565b33a3ae6f4c484,2026-08-03T09:59:33.517494+00:00,false,,
PW-005,https://neunews.neu.edu.cn/info/1781/962801.htm,evaluation/real_data/public_web/.local_cache/PW-005.jpg,VALID,560355,JPEG,2048,3072,7074df3949321bae54785fb319c0d0c05af03462e1ceda8b39a2f5088653271e,2026-08-03T09:59:34.210189+00:00,false,,
PW-006,https://archaeology.sxu.edu.cn/sylm/xsjz/e52ce803c2fc474d82d3fab7f7b45378.htm,evaluation/real_data/public_web/.local_cache/PW-006.jpg,VALID,37321686,JPEG,4724,7087,eb95927ff285d96855ee062bdfdf9eaefd1595bd93a1fec2b5fdbfe3ff9231ff,2026-08-03T10:00:02.583974+00:00,false,,
PW-007,https://cidga.cau.edu.cn/art/2025/3/13/art_52417_1068543.html,evaluation/real_data/public_web/.local_cache/PW-007.jpg,VALID,335240,JPEG,2028,2880,9a62823b0f7777fc30659d88d810a1b314cf601d0134870b95cf2db0c7e6510a,2026-08-03T10:00:04.094561+00:00,false,,
PW-008,https://www.art.pku.edu.cn/jzhb/f83aec79ae61440eaec606bf2988ab1a.htm,evaluation/real_data/public_web/.local_cache/PW-008.png,DOWNLOAD_FAILED,,,,,,,false,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)>
PW-009,https://news.swjtu.edu.cn/info/1019/76825.htm,evaluation/real_data/public_web/.local_cache/PW-009.jpg,VALID,511228,JPEG,1662,2570,6226494ef729da6b4bc8d5654b794c1002ec9a22050928adff2b1d2c5b026476,2026-08-03T10:00:04.894173+00:00,false,,
PW-010,https://math.fudan.edu.cn/11/13/c30300a725267/page.htm,evaluation/real_data/public_web/.local_cache/PW-010.png,VALID,364005,PNG,626,868,0d563a8a18322da422df73e0b6f309f2d861e73140d8e47e5bab4aec6de0a0c9,2026-08-03T10:00:05.487915+00:00,false,,
PW-011,https://science.westlake.edu.cn/newsevents/news/202506/t20250627_56409.shtml,evaluation/real_data/public_web/.local_cache/PW-011.jpg,VALID,97268,JPEG,1080,608,cbb74615217c6a12ce72610583c68fc0643030968f6cfc23dec26a14b509cbe0,2026-08-03T10:00:05.659899+00:00,false,,
PW-012,https://architecture.sdada.edu.cn/info/1046/4512.htm,evaluation/real_data/public_web/.local_cache/PW-012.jpeg,VALID,37615,JPEG,415,587,aa8101f91c27524c8b2afce34f1f6c3f4286e18d416cf782749930c18cf3873d,2026-08-03T10:00:05.875491+00:00,false,,
PW-013,https://jgxy.fzu.edu.cn/info/1142/24087.htm,evaluation/real_data/public_web/.local_cache/PW-013.pdf,DOWNLOAD_FAILED,,,,,,,false,,ValueError: UNDECODABLE_IMAGE
PW-014,https://www.shu.edu.cn/info/1062/362405.htm,evaluation/real_data/public_web/.local_cache/PW-014.jpg,VALID,655553,JPEG,2048,3055,0f1ac82855d6ef6d3f908c9667bf71555f3272577040901910c8dd3258956c8c,2026-08-03T10:00:07.721607+00:00,false,,
PW-015,https://cob.sufe.edu.cn/MBA/Detail/26984,evaluation/real_data/public_web/.local_cache/PW-015.jpg,VALID,681301,JPEG,2238,3165,30f22910f2191319184c5850d076279062c2aafee84255f21d4a0e4012b4877e,2026-08-03T10:00:08.815941+00:00,false,,
