sample_id,source_type,source_page_url,image_url,publisher,published_at,accessed_at,license,redistribution_allowed,privacy_reviewed,local_file_committed,annotation_status,scenario_type,quality_tags,local_cache_path,notes
PW-001,PUBLIC_WEB,https://science.sysu.edu.cn/article/938,https://science.sysu.edu.cn/sites/default/files/inline-images/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20250402150307.jpg,中山大学理学院,2025-04-02,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,multi_session_notice,dense_text,evaluation/real_data/public_web/.local_cache/PW-001.jpg,page text verified; image review pending
PW-002,PUBLIC_WEB,https://life.scnu.edu.cn/a/20250410/6465.html,https://statics.scnu.edu.cn/pics/life/2025/0410/1744274255355560.jpg,华南师范大学生命科学学院,2025-04-10,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,event_notice,poster,evaluation/real_data/public_web/.local_cache/PW-002.jpg,page text verified; image review pending
PW-003,PUBLIC_WEB,https://comm.ecnu.edu.cn/46/a2/c41514a673442/page.htm,https://comm.ecnu.edu.cn/_upload/article/images/fc/29/b6d553144e2e8fdf7556bf5d3006/76755e80-3037-43c1-9502-52b21f40b3e5.jpg,华东师范大学传播学院,2025-03-01,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,event_notice,poster,evaluation/real_data/public_web/.local_cache/PW-003.jpg,page text verified; image review pending
PW-004,PUBLIC_WEB,https://comm.ecnu.edu.cn/fb/7e/c41514a719742/page.htm,https://comm.ecnu.edu.cn/_upload/article/images/c5/e7/c62265b94310869c0a61a6adbbec/08abe12e-2b92-4a7c-9b38-d309f0b820a2.jpg,华东师范大学传播学院,2025-10-01,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,event_notice,series,evaluation/real_data/public_web/.local_cache/PW-004.jpg,page text verified; image review pending
PW-005,PUBLIC_WEB,https://neunews.neu.edu.cn/info/1781/962801.htm,https://neunews.neu.edu.cn/__local/C/B8/AC/7276F5EFFC58C8B6989EED5ADC8_69C3D649_88CE3.jpg,东北大学,2025-11-28,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,online_event,poster,evaluation/real_data/public_web/.local_cache/PW-005.jpg,page text verified; image review pending
PW-006,PUBLIC_WEB,https://archaeology.sxu.edu.cn/sylm/xsjz/e52ce803c2fc474d82d3fab7f7b45378.htm,https://archaeology.sxu.edu.cn/images/2025-11/68d3b18c6efc44afbdb239eab1c03c0d.jpg,山西大学考古文博学院,2025-11-01,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,event_notice,poster,evaluation/real_data/public_web/.local_cache/PW-006.jpg,page text verified; image review pending
PW-007,PUBLIC_WEB,https://cidga.cau.edu.cn/art/2025/3/13/art_52417_1068543.html,https://cidga.cau.edu.cn/picture/0/257e4a78632b4d89b0778eea0b4e4454.jpg,中国农业大学,2025-03-13,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,event_notice,poster,evaluation/real_data/public_web/.local_cache/PW-007.jpg,page text verified; image review pending
PW-008,PUBLIC_WEB,https://www.art.pku.edu.cn/jzhb/f83aec79ae61440eaec606bf2988ab1a.htm,https://www.art.pku.edu.cn/images/2025-06/71558c00148843789e3abdd157fd8b52.png,北京大学艺术学院,2025-06-12,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,event_notice,date_page_mismatch,evaluation/real_data/public_web/.local_cache/PW-008.png,event date transcribed from notice; image review pending
PW-009,PUBLIC_WEB,https://news.swjtu.edu.cn/info/1019/76825.htm,https://news.swjtu.edu.cn/__local/0/2B/E4/AA2DBB895E44CBE150D1E1B70C6_30FFBDBE_7CCFC.jpg,西南交通大学,2025-03-24,2026-08-03,COPYRIGHT_REUSE_PROHIBITED,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,event_notice,restricted_reuse,evaluation/real_data/public_web/.local_cache/PW-009.jpg,source explicitly restricts reuse; image review pending
PW-010,PUBLIC_WEB,https://math.fudan.edu.cn/11/13/c30300a725267/page.htm,https://math.fudan.edu.cn/_upload/article/images/f4/85/4343d97f4b4a96d86e31c8e6ac7d/41eb14c5-d4a5-466a-abed-c6782b01e963.png,复旦大学数学科学学院,2025-04-01,2026-08-03,NO_REUSE_LICENSE_FOUND,false,false,false,PAGE_TEXT_VERIFIED_IMAGE_PENDING,multi_day_event,dense_schedule,evaluation/real_data/public_web/.local_cache/PW-010.png,page text verified; image review pending
