sample_id,sanitized_path,original_sha256,sanitized_sha256,file_size,file_type,width,height,duplicate,duplicate_of
PW-001,evaluation/real_data/public_web/.sanitized_cache/PW-001.jpg,d66159e035dd91922ee67cebafc261e91b3168afcfd21837d0cac99c525f8945,9f632e9d4c0dd23a9115c3d8e64cc9e0bbcb7060f0bcf3385fe4b3d759955da4,364465,JPEG,1080,1800,false,
PW-002,evaluation/real_data/public_web/.sanitized_cache/PW-002.jpg,2e303aa2bac4d429db06c5a188d38972583fa503ec0689c4a5688b8e090426ed,942d0cdb8699bb02596fd68b4f2050575cf556769a54de2946685afbe215ac55,341049,JPEG,1587,2116,false,
PW-003,evaluation/real_data/public_web/.sanitized_cache/PW-003.jpg,82957e7ed022ad00767820f9aa4272e3ed90ae77200f0289e651a746ea293167,8f47de1f9c98d475af61f2a6ee8a4a64d0c3bb34195421c5dc2b02a8b44b255c,2511909,JPEG,3450,4950,false,
PW-004,evaluation/real_data/public_web/.sanitized_cache/PW-004.jpg,60948f6516324b011b2162d1a6c9f391d511bdac2cfa97a565b33a3ae6f4c484,438801f3ee2f0d2fc74453db3f8dae24ef2960649df0b96991078a1a49579216,1139177,JPEG,3839,5610,false,
PW-005,evaluation/real_data/public_web/.sanitized_cache/PW-005.jpg,7074df3949321bae54785fb319c0d0c05af03462e1ceda8b39a2f5088653271e,7c905ef65ca76d8accdc44aaff5ef00da2485391444eb0c25f99ba3bc7ef34a9,462016,JPEG,2048,3072,false,
PW-006,evaluation/real_data/public_web/.sanitized_cache/PW-006.jpg,eb95927ff285d96855ee062bdfdf9eaefd1595bd93a1fec2b5fdbfe3ff9231ff,16f8b9374f1012e30f943e2873a62a6708846a48d4297391d8e2f991ba2b061f,2688697,JPEG,4724,7087,false,
PW-007,evaluation/real_data/public_web/.sanitized_cache/PW-007.jpg,9a62823b0f7777fc30659d88d810a1b314cf601d0134870b95cf2db0c7e6510a,870a869b465ee7db53077722b79e5cb4f1c606116cde0d6f10d10d74fcaa547f,416025,JPEG,2028,2880,false,
PW-009,evaluation/real_data/public_web/.sanitized_cache/PW-009.jpg,6226494ef729da6b4bc8d5654b794c1002ec9a22050928adff2b1d2c5b026476,edc98ee60297f714ba538cb7b722786a1e7dd0bebd67bf28d502d35a9dc131ee,552231,JPEG,1662,2570,false,
PW-010,evaluation/real_data/public_web/.sanitized_cache/PW-010.png,0d563a8a18322da422df73e0b6f309f2d861e73140d8e47e5bab4aec6de0a0c9,f2263a5deb6592bf3bf12de6728d85c8b123f7488a6917aed37b7433846c85a2,322450,PNG,626,868,false,
PW-012,evaluation/real_data/public_web/.sanitized_cache/PW-012.jpeg,aa8101f91c27524c8b2afce34f1f6c3f4286e18d416cf782749930c18cf3873d,d507237663987a886fba65f6d555757c72b6507c10339d14569cd56e7a21666f,56156,JPEG,415,587,false,
PW-014,evaluation/real_data/public_web/.sanitized_cache/PW-014.jpg,0f1ac82855d6ef6d3f908c9667bf71555f3272577040901910c8dd3258956c8c,028717109af5e5c0570e453eb06f0fd98c9e29b7e6286e328f6ea48ed1f6778d,389249,JPEG,2048,3055,false,
PW-015,evaluation/real_data/public_web/.sanitized_cache/PW-015.jpg,30f22910f2191319184c5850d076279062c2aafee84255f21d4a0e4012b4877e,9fdffa1d3ab472249db606e133f9ce798e98dcd960bbfd47a7d6cdae3af7b16e,486305,JPEG,2238,3165,false,
