sample_id,source_url,source_domain,source_page_title,publisher,access_date,source_valid,source_status,notes
PW-001,https://science.sysu.edu.cn/article/938,science.sysu.edu.cn,2025年理学院第二届研究生学术论坛暨研究生学术海报展重磅来袭,中山大学理学院,2026-08-03,true,VERIFIED,official page accessible and links poster images
PW-002,https://life.scnu.edu.cn/a/20250410/6465.html,life.scnu.edu.cn,2025年4月15日学术讲座：多模态超分辨显微成像技术开发与应用,华南师范大学生命科学学院,2026-08-03,true,VERIFIED,official page accessible and links poster image
PW-003,https://comm.ecnu.edu.cn/46/a2/c41514a673442/page.htm,comm.ecnu.edu.cn,讲座预告｜李亦中：短视频国际传播，你准备好了吗？,华东师范大学传播学院,2026-08-03,true,VERIFIED,official page accessible and links poster image
PW-004,https://comm.ecnu.edu.cn/fb/7e/c41514a719742/page.htm,comm.ecnu.edu.cn,预告｜2025年传播学院校庆学术报告系列讲座（一）,华东师范大学传播学院,2026-08-03,true,VERIFIED,official page accessible and links poster image
PW-005,https://neunews.neu.edu.cn/info/1781/962801.htm,neunews.neu.edu.cn,指尖上的心理博弈：游戏、媒体与大学生心理健康,东北大学,2026-08-03,true,VERIFIED,official university news page accessible
PW-006,https://archaeology.sxu.edu.cn/sylm/xsjz/e52ce803c2fc474d82d3fab7f7b45378.htm,archaeology.sxu.edu.cn,东方佛教第一圣地,山西大学考古文博学院,2026-08-03,true,VERIFIED,official college page accessible
PW-007,https://cidga.cau.edu.cn/art/2025/3/13/art_52417_1068543.html,cidga.cau.edu.cn,唐世平：国际政治经济学的新景观：迈向新议程,中国农业大学,2026-08-03,true,VERIFIED,official college page accessible
PW-008,https://www.art.pku.edu.cn/jzhb/f83aec79ae61440eaec606bf2988ab1a.htm,www.art.pku.edu.cn,虚构与经验的整体性,北京大学艺术学院,2026-08-03,true,VERIFIED,official college page accessible
PW-009,https://news.swjtu.edu.cn/info/1019/76825.htm,news.swjtu.edu.cn,语法隐喻的跨学科特性：基于语料库的研究,西南交通大学,2026-08-03,true,VERIFIED,official news page accessible; unauthorized reuse prohibited
PW-010,https://math.fudan.edu.cn/11/13/c30300a725267/page.htm,math.fudan.edu.cn,复旦大学第一届几何分析博士生论坛,复旦大学数学科学学院,2026-08-03,true,VERIFIED,official college page accessible
PW-011,https://science.westlake.edu.cn/newsevents/news/202506/t20250627_56409.shtml,science.westlake.edu.cn,第20届国际均相催化与多相催化会议（ISHHC20）,西湖大学理学院,2026-08-03,true,VERIFIED,official college page accessible
PW-012,https://architecture.sdada.edu.cn/info/1046/4512.htm,architecture.sdada.edu.cn,自然的力量：我的乡建之路,山东工艺美术学院建筑与景观设计学院,2026-08-03,true,VERIFIED,official college page accessible
PW-013,https://jgxy.fzu.edu.cn/info/1142/24087.htm,jgxy.fzu.edu.cn,Online Integrated Production and Distribution Scheduling,福州大学经济与管理学院,2026-08-03,true,VERIFIED,official college page accessible
PW-014,https://www.shu.edu.cn/info/1062/362405.htm,www.shu.edu.cn,上海大学中国国际大学生创新大赛（2025）系列培训讲座（第一讲）,上海大学,2026-08-03,true,VERIFIED,official university page accessible
PW-015,https://cob.sufe.edu.cn/MBA/Detail/26984,cob.sufe.edu.cn,拥抱第四次工业革命——人工智能赋能传统行业,上海财经大学商学院,2026-08-03,true,VERIFIED,official school page accessible
